City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Faanui,PF,2021-06-19 17:42:59,-16.4833,-151.75,81.21,72,25,16.89
68,Bud,US,2021-06-19 17:42:59,39.447,-86.1758,77.22,79,100,13.53
69,Pevek,RU,2021-06-19 17:43:00,69.7008,170.3133,36.45,91,94,2.37
70,Baniyas,SY,2021-06-19 17:43:00,35.1819,35.9487,77.29,81,1,6.89
71,Kendari,ID,2021-06-19 17:43:00,-3.945,122.4989,73.76,93,98,3.83
72,Puerto Ayora,EC,2021-06-19 17:43:01,-0.7393,-90.3518,80.56,86,63,7.0
73,Aconibe,GQ,2021-06-19 17:43:01,1.2968,10.9369,69.19,95,83,0.47
74,Busselton,AU,2021-06-19 17:43:01,-33.65,115.3333,56.05,85,100,9.24
75,Baneasa,RO,2021-06-19 17:43:02,44.0461,26.0642,68.16,93,68,10.89
76,Kadhan,PK,2021-06-19 17:43:02,24.481,68.9859,85.95,68,91,18.66
77,Cimitarra,CO,2021-06-19 17:43:02,6.3142,-73.9497,91.63,52,54,3.27
78,Saint George,US,2021-06-19 17:43:03,37.1041,-113.5841,98.55,17,1,1.99
79,Acapulco,MX,2021-06-19 17:42:30,16.8634,-99.8901,73.22,100,90,11.5
80,Dikson,RU,2021-06-19 17:43:03,73.5069,80.5464,31.64,82,24,4.72
81,Butaritari,KI,2021-06-19 17:43:03,3.0707,172.7902,81.25,74,100,1.72
82,Bria,CF,2021-06-19 17:43:04,6.5423,21.9863,73.31,81,60,2.37
83,Filingue,NE,2021-06-19 17:43:04,14.3521,3.3168,101.77,20,100,5.7
84,Chapais,CA,2021-06-19 17:43:04,49.7834,-74.8492,64.18,82,100,9.57
85,Lagos,NG,2021-06-19 17:43:05,6.5833,3.75,84.52,79,58,6.82
86,Marsh Harbour,BS,2021-06-19 17:43:05,26.5412,-77.0636,82.63,73,99,11.32
87,Vaini,TO,2021-06-19 17:41:09,-21.2,-175.2,71.76,94,20,5.75
88,La Palma,US,2021-06-19 17:41:01,33.8464,-118.0467,93.9,69,75,7.0
89,Makakilo City,US,2021-06-19 17:38:19,21.3469,-158.0858,77.32,69,1,4.61
90,Kholodnyy,RU,2021-06-19 17:43:06,62.7167,147.95,55.8,62,76,2.68
91,Havoysund,NO,2021-06-19 17:43:06,70.9963,24.6622,45.48,89,98,4.34
92,Hobart,AU,2021-06-19 17:42:10,-42.8794,147.3294,47.05,92,90,0.0
93,Constitucion,CL,2021-06-19 17:43:06,-35.3333,-72.4167,57.99,57,79,7.81
94,Paamiut,GL,2021-06-19 17:43:07,61.994,-49.6678,42.66,83,100,25.99
95,Trincomalee,LK,2021-06-19 17:43:07,8.5711,81.2335,81.75,74,100,16.06
96,Kavaratti,IN,2021-06-19 17:41:00,10.5669,72.642,82.87,77,55,18.75
97,Dera Ismail Khan,PK,2021-06-19 17:43:08,31.8327,70.9024,100.11,17,20,7.94
98,Tucuma,BR,2021-06-19 17:43:08,-0.1833,-50.05,85.71,62,65,9.42
99,Kundiawa,PG,2021-06-19 17:43:08,-6.0167,144.9667,59.49,96,72,1.63
100,Glotovka,RU,2021-06-19 17:43:09,53.9491,46.7042,60.96,90,10,5.41
101,Isangel,VU,2021-06-19 17:43:09,-19.55,169.2667,74.95,87,65,5.26
102,Nelson Bay,AU,2021-06-19 17:42:34,-32.7167,152.15,56.08,96,92,23.62
103,Riyadh,SA,2021-06-19 17:40:40,24.6877,46.7219,104.05,6,0,11.5
104,Kapaa,US,2021-06-19 17:43:09,22.0752,-159.319,78.19,82,75,10.36
105,Avarua,CK,2021-06-19 17:43:10,-21.2078,-159.775,75.25,73,40,12.66
106,Shima,CN,2021-06-19 17:43:10,24.4478,117.8111,87.82,87,100,2.91
107,Cabo San Lucas,MX,2021-06-19 17:39:30,22.8909,-109.9124,99.52,54,1,10.36
108,Severo-Kurilsk,RU,2021-06-19 17:43:11,50.6789,156.125,43.12,90,84,3.24
109,Poronaysk,RU,2021-06-19 17:43:11,49.2167,143.1167,45.1,70,63,4.05
110,Mar Del Plata,AR,2021-06-19 17:43:11,-38.0023,-57.5575,52.0,55,20,5.01
111,Magistralnyy,RU,2021-06-19 17:43:12,56.1725,107.4458,56.59,75,78,1.79
112,Ostrowiec Swietokrzyski,PL,2021-06-19 17:43:12,50.9294,21.3853,76.48,82,47,7.78
113,Pangnirtung,CA,2021-06-19 17:43:12,66.1451,-65.7125,41.54,87,100,4.16
114,Diego De Almagro,CL,2021-06-19 17:43:13,-26.3667,-70.05,73.44,9,0,6.11
115,Agirish,RU,2021-06-19 17:43:13,61.9247,63.0231,53.73,96,100,11.18
116,Gonen,TR,2021-06-19 17:43:13,40.1049,27.654,79.47,76,33,2.8
117,Naica,MX,2021-06-19 17:43:14,27.85,-105.4833,88.41,18,11,8.81
118,Sao Joao Da Barra,BR,2021-06-19 17:43:14,-21.6403,-41.0511,71.69,69,79,17.18
119,Boa Vista,BR,2021-06-19 17:41:54,2.8197,-60.6733,85.98,62,75,11.5
120,Kaeo,NZ,2021-06-19 17:43:15,-35.1,173.7833,54.32,96,20,13.42
121,Olga,RU,2021-06-19 17:43:15,43.7444,135.2892,48.56,96,100,13.51
122,Stroitel,RU,2021-06-19 17:43:15,50.7854,36.4831,75.02,53,0,11.18
123,Jardim,BR,2021-06-19 17:43:16,-21.4803,-56.1381,57.42,86,98,6.89
124,Port Macquarie,AU,2021-06-19 17:43:16,-31.4333,152.9167,56.37,94,40,9.22
125,Aksarka,RU,2021-06-19 17:43:16,66.5606,67.7975,49.33,69,64,13.51
126,Irawan,PH,2021-06-19 17:43:16,9.8012,118.6923,80.76,82,100,3.38
127,Roald,NO,2021-06-19 17:43:17,62.5833,6.1333,59.11,76,75,13.8
128,Saskylakh,RU,2021-06-19 17:43:17,71.9167,114.0833,71.2,53,52,5.88
129,Katsuura,JP,2021-06-19 17:43:17,35.1333,140.3,71.19,93,100,14.09
130,Bathsheba,BB,2021-06-19 17:43:18,13.2167,-59.5167,86.61,66,20,20.71
131,Andrews,US,2021-06-19 17:43:18,32.3187,-102.5457,93.42,25,1,13.8
132,Hithadhoo,MV,2021-06-19 17:43:18,-0.6,73.0833,83.73,70,100,13.4
133,Narsaq,GL,2021-06-19 17:38:45,60.9167,-46.05,50.22,79,100,3.18
134,Port Lincoln,AU,2021-06-19 17:43:19,-34.7333,135.8667,51.06,68,6,0.78
135,Torbay,CA,2021-06-19 17:43:19,47.6666,-52.7314,61.29,89,90,3.44
136,Thompson,CA,2021-06-19 17:43:20,55.7435,-97.8558,68.16,45,75,9.22
137,Lavrentiya,RU,2021-06-19 17:43:20,65.5833,-171.0,48.38,66,16,4.68
138,Buala,SB,2021-06-19 17:43:20,-8.145,159.5921,79.43,80,100,5.1
139,Codrington,AU,2021-06-19 17:43:21,-38.2667,141.9667,51.31,77,100,4.92
