City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
157,Sharjah,AE,89.76,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
158,Hamilton,US,89.2,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
159,Razole,IN,83.64,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
162,Haldibari,IN,76.06,overcast clouds,26.3333,88.7667,Rahul and Debika
163,Guerrero Negro,MX,74.64,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
168,Broome,US,85.17,broken clouds,42.2506,-75.833,Chenango Valley State Park
173,Corinto,GR,80.76,clear sky,37.9407,22.9573,Ephira Hotel
175,Westport,US,89.06,broken clouds,41.1415,-73.3579,The Westport Inn
183,Iquitos,PE,82.98,moderate rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
184,Fairbanks,US,70.48,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
186,Myitkyina,MM,74.43,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
187,Alugan,PH,77.72,overcast clouds,12.2188,125.4808,JM Lodge
189,Moose Factory,CA,70.39,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
190,Antsohihy,MG,71.44,few clouds,-14.8796,47.9875,Hotel de Ville
191,Port Blair,IN,82.69,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
194,Aklavik,CA,76.21,few clouds,68.2191,-135.0107,Aklavik Inn
196,Takoradi,GH,76.69,moderate rain,4.8845,-1.7554,Raybow International Hotel
197,Sur,OM,86.77,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
202,Keffi,NG,75.67,moderate rain,8.8486,7.8736,Imam Family
204,Batagay,RU,72.12,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
212,Kavieng,PG,82.15,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
213,Nikolskoye,RU,75.09,clear sky,59.7035,30.7861,Tourist House - Sablino
214,Majene,ID,76.05,light rain,-3.5403,118.9707,Kost Putri RABBANI
216,Riyadh,SA,88.59,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
218,Bonthe,SL,76.84,moderate rain,7.5264,-12.505,Bonthe Holiday Village
222,Oistins,BB,81.3,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
224,Hopfgarten,DE,73.08,overcast clouds,50.9833,11.2667,Hotel Anna Amalia Weimar
226,Wanxian,CN,70.7,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
227,Sorong,ID,79.07,overcast clouds,-0.8833,131.25,waigo splash hotel
230,Griffith,US,84.81,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
231,Cockburn Town,TC,81.01,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
232,Sakakah,SA,88.5,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
233,Samarai,PG,78.67,scattered clouds,-10.6167,150.6667,Nuli Sapi
234,Kalmunai,LK,80.02,few clouds,7.4167,81.8167,VS Villa
237,Makum,IN,75.04,broken clouds,27.5,95.45,gagan store
239,George Town,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
240,Nusaybin,TR,80.29,clear sky,37.0778,41.2178,Aydinlar Hotel
241,Police,PL,73.8,broken clouds,53.5521,14.5718,Hotel Dobosz
247,Marzuq,YE,78.19,overcast clouds,14.4,46.4667,
250,Yumen,CN,70.59,clear sky,40.2833,97.2,
251,Paciran,ID,76.78,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
254,Tanout,NE,89.31,overcast clouds,14.9709,8.8879,
255,Kavaratti,IN,82.72,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
257,Japura,ID,72.55,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
258,Catuday,PH,81.7,overcast clouds,16.2923,119.8062,GResort
260,Bengkulu,ID,73.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
266,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
