City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
59,Bredasdorp,ZA,2021-06-20 21:01:18,-34.5322,20.0403,62.96,47,86,5.61,overcast clouds
60,Saint-Pierre,RE,2021-06-20 21:01:19,-21.3393,55.4781,69.44,80,90,10.36,light rain
61,Avarua,CK,2021-06-20 21:01:19,-21.2078,-159.775,72.73,68,98,14.67,overcast clouds
62,Atuona,PF,2021-06-20 21:01:19,-9.8,-139.0333,79.32,75,16,17.45,few clouds
63,Jamestown,US,2021-06-20 21:01:20,42.097,-79.2353,81.07,72,39,8.77,scattered clouds
64,Faanui,PF,2021-06-20 21:01:20,-16.4833,-151.75,80.04,72,10,4.56,clear sky
65,Namibe,AO,2021-06-20 21:01:20,-15.1961,12.1522,66.78,82,0,5.79,clear sky
66,Calvia,ES,2021-06-20 21:01:21,39.5657,2.5062,73.92,57,15,10.4,few clouds
67,Vardo,NO,2021-06-20 21:01:21,70.3705,31.1107,48.4,93,75,4.61,broken clouds
68,Gorebridge,GB,2021-06-20 21:01:21,55.8459,-3.0456,56.88,88,84,6.78,light rain
69,Barra,BR,2021-06-20 21:01:22,-11.0894,-43.1417,79.7,44,2,4.43,clear sky
70,Quatre Cocos,MU,2021-06-20 21:01:22,-20.2078,57.7625,67.08,60,94,20.2,overcast clouds
71,General Roca,AR,2021-06-20 21:01:22,-39.0333,-67.5833,51.19,51,96,7.02,overcast clouds
72,Komsomolskiy,UZ,2021-06-20 21:01:23,40.4272,71.7189,71.96,29,60,4.83,broken clouds
73,Mount Isa,AU,2021-06-20 21:01:23,-20.7333,139.5,51.57,50,0,6.91,clear sky
74,Manggar,ID,2021-06-20 21:01:23,-2.8833,108.2667,78.06,84,77,5.88,broken clouds
75,Sitka,US,2021-06-20 21:01:24,57.0531,-135.33,58.23,86,100,4.81,light rain
76,Puerto Rondon,CO,2021-06-20 21:01:24,6.2805,-71.1,74.77,94,100,6.62,moderate rain
77,Port Elizabeth,ZA,2021-06-20 21:01:24,-33.918,25.5701,70.11,39,20,5.75,few clouds
78,Mapiri,BO,2021-06-20 21:01:25,-15.25,-68.1667,76.98,65,64,3.2,broken clouds
79,Nagram,IN,2021-06-20 21:01:25,26.6167,81.1333,78.85,78,100,0.43,overcast clouds
80,Chipinge,ZW,2021-06-20 21:01:25,-20.1883,32.6236,53.87,96,100,2.21,light rain
81,Itoman,JP,2021-06-20 21:01:26,26.1247,127.6694,81.37,94,75,2.3,broken clouds
82,Bonfim,BR,2021-06-20 21:01:26,3.0833,-59.95,84.45,68,97,2.75,overcast clouds
83,Longyearbyen,SJ,2021-06-20 21:01:26,78.2186,15.6401,39.04,75,75,19.57,broken clouds
84,Tuktoyaktuk,CA,2021-06-20 21:01:27,69.4541,-133.0374,45.01,73,28,8.34,scattered clouds
85,Tasiilaq,GL,2021-06-20 21:01:27,65.6145,-37.6368,41.16,62,100,6.35,overcast clouds
86,Trairi,BR,2021-06-20 21:01:08,-3.2778,-39.2689,78.76,74,82,11.23,broken clouds
87,Buraydah,SA,2021-06-20 21:01:28,26.326,43.975,87.37,8,0,9.48,clear sky
88,Oranjemund,NA,2021-06-20 21:01:28,-28.55,16.4333,70.7,34,0,4.85,clear sky
89,Sao Filipe,CV,2021-06-20 21:01:28,14.8961,-24.4956,72.52,77,1,10.56,clear sky
90,Clarksburg,US,2021-06-20 21:00:56,39.2807,-80.3445,91.51,57,92,7.81,overcast clouds
91,Butaritari,KI,2021-06-20 21:01:29,3.0707,172.7902,81.07,76,20,7.52,light rain
92,Daru,PG,2021-06-20 21:01:29,-9.0763,143.2092,77.0,85,90,15.59,overcast clouds
93,Port Alfred,ZA,2021-06-20 21:01:29,-33.5906,26.891,71.51,37,70,11.43,broken clouds
94,Tsybli,UA,2021-06-20 21:01:30,49.9948,31.5628,69.93,87,76,10.87,broken clouds
95,Lebu,CL,2021-06-20 21:01:30,-37.6167,-73.65,53.08,76,100,16.62,overcast clouds
96,Mehamn,NO,2021-06-20 21:01:30,71.0357,27.8492,46.35,82,37,6.62,scattered clouds
97,Palmares,BR,2021-06-20 21:01:30,-8.6833,-35.5917,73.15,91,18,2.95,few clouds
98,Hobart,AU,2021-06-20 21:00:08,-42.8794,147.3294,42.03,94,20,1.99,few clouds
99,Sarankhola,BD,2021-06-20 21:01:31,22.3082,89.7897,77.2,91,59,0.54,broken clouds
100,Key West,US,2021-06-20 21:01:31,24.5557,-81.7826,88.0,73,100,3.02,overcast clouds
101,Paramirim,BR,2021-06-20 21:01:32,-13.4425,-42.2389,75.29,52,2,10.83,clear sky
102,Pangnirtung,CA,2021-06-20 21:01:32,66.1451,-65.7125,44.91,69,100,5.7,overcast clouds
103,Hengshui,CN,2021-06-20 21:01:32,37.7322,115.7011,78.37,25,62,9.1,broken clouds
104,Saskylakh,RU,2021-06-20 21:01:33,71.9167,114.0833,77.79,37,13,5.84,few clouds
105,Dunda,TZ,2021-06-20 21:01:33,-8.1167,34.25,60.75,58,44,2.44,scattered clouds
106,Dingle,PH,2021-06-20 21:01:33,10.9995,122.6711,76.41,89,100,5.66,moderate rain
107,Qaanaaq,GL,2021-06-20 21:01:34,77.484,-69.3632,39.42,60,11,3.36,few clouds
108,Pochutla,MX,2021-06-20 21:01:34,15.7432,-96.4661,89.82,68,97,6.87,overcast clouds
109,Codrington,AU,2021-06-20 21:01:34,-38.2667,141.9667,41.47,91,1,6.85,clear sky
110,Melo,UY,2021-06-20 21:01:35,-32.3667,-54.1833,52.02,85,100,5.61,overcast clouds
111,Alcudia,ES,2021-06-20 21:01:35,39.8532,3.1214,75.2,72,39,10.89,scattered clouds
112,Gat,IL,2021-06-20 21:01:35,31.61,34.7642,74.8,100,0,2.68,clear sky
113,Miri,MY,2021-06-20 21:00:24,4.4148,114.0089,76.98,87,100,5.03,overcast clouds
114,Puerto Ayora,EC,2021-06-20 21:01:36,-0.7393,-90.3518,76.55,81,50,8.99,scattered clouds
115,Lingdong,CN,2021-06-20 21:01:36,46.5669,131.1453,54.66,80,89,2.13,overcast clouds
116,Yerbogachen,RU,2021-06-20 21:01:36,61.2767,108.0108,59.2,78,39,1.83,scattered clouds
117,Mattru,SL,2021-06-20 21:01:37,7.6244,-11.8332,73.96,97,100,3.67,moderate rain
